,_season,_week,_season_type,_start_date,_neutral_site,_conference_game,_home_team,_home_points,_away_team,_away_points,home_recent_week,home_elo,away_recent_week,away_elo,home_expected,away_expected,mov_multiplier,new_home_elo,new_away_elo,home_elo_change,away_elo_change,predicted_home_win,predicted_away_win,correct_prediction,home_won,away_won,played,home_fbs,away_fbs,fbs_count
0,2020.0,1.0,regular,2020-09-04T00:00:00.000Z,False,False,UAB,45.0,Central Arkansas,35.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,2.770677311006521,1506.621984916533,1197.378015083467,6.621984916532938,-6.621984916532938,True,False,True,True,False,True,True,False,1
1,2020.0,1.0,regular,2020-09-04T01:00:00.000Z,False,False,Southern Mississippi,21.0,South Alabama,32.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,2.4849066497880004,1475.7095483285455,1524.2904516714545,-24.290451671454548,24.290451671454548,True,False,False,False,True,True,True,True,2
2,2020.0,1.0,regular,2020-09-05T17:00:00.000Z,False,False,Marshall,59.0,Eastern Kentucky,0.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,4.730860313491923,1511.3068690871069,1192.6931309128931,11.306869087106861,-11.306869087106861,True,False,True,True,False,True,True,False,1
3,2020.0,1.0,regular,2020-09-05T17:30:00.000Z,False,False,Army,42.0,Middle Tennessee,0.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,3.7612001156935624,1530.935130535266,1469.064869464734,30.9351305352659,-30.9351305352659,True,False,True,True,False,True,True,True,2
4,2020.0,1.0,regular,2020-09-05T20:30:00.000Z,False,False,Texas State,24.0,SMU,31.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,2.0794415416798357,1479.6730495787042,1520.3269504212958,-20.326950421295805,20.326950421295805,True,False,False,False,True,True,True,True,2
5,2020.0,1.0,regular,2020-09-05T23:30:00.000Z,False,False,North Texas,57.0,Houston Baptist,31.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,3.808214866181473,1509.101724442104,1194.898275557896,9.101724442103887,-9.101724442103887,True,False,True,True,False,True,True,False,1
6,2020.0,1.0,regular,2020-09-06T00:00:00.000Z,False,False,Memphis,37.0,Arkansas State,24.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,2.6390573296152584,1521.7057270207606,1478.2942729792394,21.705727020760605,-21.705727020760605,True,False,True,True,False,True,True,True,2
7,2020.0,1.0,regular,2020-09-06T01:00:00.000Z,False,False,UTEP,24.0,Stephen F. Austin,14.0,0,1500,0,1204,0.8672208959675437,0.13277910403245627,2.770677311006521,1506.621984916533,1197.378015083467,6.621984916532938,-6.621984916532938,True,False,True,True,False,True,True,False,1
8,2020.0,1.0,regular,2020-09-08T00:00:00.000Z,False,False,Navy,3.0,BYU,55.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,3.970291913552122,1461.1896149676556,1538.8103850323444,-38.81038503234436,38.81038503234436,True,False,False,False,True,True,True,True,2
9,2020.0,2.0,regular,2020-09-11T00:00:00.000Z,False,False,Miami,31.0,UAB,14.0,0,1500,1.0,1506.621984916533,0.5335929850709075,0.4664070149290925,2.881697867073544,1524.1927938019676,1482.4291911145654,24.192793801967582,-24.192793801967582,True,False,True,True,False,True,True,True,2
11,2020.0,2.0,regular,2020-09-12T16:00:00.000Z,False,False,Kansas State,31.0,Arkansas State,35.0,0,1500,1.0,1478.2942729792394,0.573866005345889,0.42613399465411095,1.5937139488329428,1483.5375913653459,1494.7566816138935,-16.46240863465414,16.46240863465414,True,False,False,False,True,True,True,True,2
13,2020.0,2.0,regular,2020-09-12T16:00:00.000Z,False,False,Appalachian State,35.0,Charlotte,20.0,0,1500,0,1500,0.5430664920222119,0.4569335079777882,2.772588722239781,1522.8039964385882,1477.1960035614118,22.80399643858823,-22.80399643858823,True,False,True,True,False,True,True,True,2
